key,p_x,p_y
39NGA.X6,,
39NGA.X7,,
39NGA.X8,,
39NGA.X10,,
39NGA.X11,,
39NGA.X14,,
39NGA.X22,,
39NGA.X9,,
39NGA.X13,,
39NGA.X18,,
39ARG.X12,,
39ARG.X2,,
39ARG.X3,,
39ARG.X7,,
39ARG.X9,,
39ARG.X10,,
39ARG.X11,,
39ARG.X14,,
39ARG.X15,,
39ARG.X16,,
39ARG.X17,,
39ARG.X13,,
39ARG.X19,,
39ARG.X22,,
40ISL.X1,0.5,3
40ISL.X2,2.5,4.5
40ISL.X5,2.5,3.8
40ISL.X6,2.5,2.2
40ISL.X7,3.8,4.3
40ISL.X8,3.8,1.7
40ISL.X10,4.5,3
40ISL.X11,5,3
40ISL.X17,3.25,3.3
40ISL.X18,3,1.5
40ISL.X20,3.1,2.8
40ISL.X4,2.875,0
40ISL.X9,3.25,0
40ISL.X21,3.625,0
40CRO.X12,6,3
40CRO.X4,2.3,3.8
40CRO.X5,4.3,2.1
40CRO.X8,3.5,3.8
40CRO.X9,2,3.2
40CRO.X10,3.25,2.1
40CRO.X13,3.25,1.5
40CRO.X15,4.3,3.8
40CRO.X19,3.7,3
40CRO.X20,2.7,2.1
40CRO.X22,3.25,4.5
40CRO.X6,2.875,6
40CRO.X7,3.25,6
40CRO.X14,3.625,6
41SRB.X1,,
41SRB.X2,,
41SRB.X9,,
41SRB.X10,,
41SRB.X11,,
41SRB.X13,,
41SRB.X15,,
41SRB.X17,,
41SRB.X20,,
41SRB.X21,,
41SRB.X22,,
41SRB.X7,,
41SRB.X18,,
41SRB.X19,,
41BRA.X1,,
41BRA.X2,,
41BRA.X3,,
41BRA.X5,,
41BRA.X9,,
41BRA.X10,,
41BRA.X11,,
41BRA.X12,,
41BRA.X15,,
41BRA.X19,,
41BRA.X22,,
41BRA.X6,,
41BRA.X8,,
41BRA.X17,,
42SUI.X1,6,3
42SUI.X2,3.5,1.5
42SUI.X5,4.5,3.5
42SUI.X7,2,3.8
42SUI.X10,3.7,3.2
42SUI.X11,4,2
42SUI.X13,3.5,4.5
42SUI.X15,2.3,2.8
42SUI.X18,1.5,3
42SUI.X22,4.5,2.5
42SUI.X23,2,2
42SUI.X6,2.875,6
42SUI.X17,3.25,6
42SUI.X19,3.625,6
42CRC.X1,0.5,3
42CRC.X2,2.5,3.8
42CRC.X3,2.5,3
42CRC.X5,3.5,3.7
42CRC.X8,3,1.5
42CRC.X9,4.5,1.7
42CRC.X10,4,3.7
42CRC.X12,5,3.1
42CRC.X16,3,4.5
42CRC.X19,2.7,2.4
42CRC.X20,3.25,2.8
42CRC.X4,2.875,0
42CRC.X13,3.25,0
42CRC.X14,3.625,0
43KOR.X23,,
43KOR.X2,,
43KOR.X5,,
43KOR.X7,,
43KOR.X13,,
43KOR.X14,,
43KOR.X15,,
43KOR.X17,,
43KOR.X18,,
43KOR.X19,,
43KOR.X20,,
43KOR.X8,,
43KOR.X11,,
43KOR.X22,,
43GER.X1,,
43GER.X3,,
43GER.X5,,
43GER.X6,,
43GER.X8,,
43GER.X9,,
43GER.X10,,
43GER.X11,,
43GER.X14,,
43GER.X15,,
43GER.X18,,
43GER.X13,,
43GER.X20,,
43GER.X23,,
44MEX.X13,,
44MEX.X3,,
44MEX.X7,,
44MEX.X11,,
44MEX.X14,,
44MEX.X15,,
44MEX.X16,,
44MEX.X18,,
44MEX.X21,,
44MEX.X22,,
44MEX.X23,,
44MEX.X8,,
44MEX.X17,,
44MEX.X19,,
44SWE.X1,,
44SWE.X2,,
44SWE.X3,,
44SWE.X4,,
44SWE.X6,,
44SWE.X7,,
44SWE.X8,,
44SWE.X9,,
