key,p_x,p_y
42FRA.X4,,
42FRA.X9,,
42FRA.X20,,
43NGA.X1,0.5,3
43NGA.X2,2,4
43NGA.X5,2.7,4.5
43NGA.X7,4.5,1.5
43NGA.X8,4.3,4.25
43NGA.X9,4.5,3.5
43NGA.X10,3.6,2.2
43NGA.X13,2.7,1.5
43NGA.X17,3,3
43NGA.X18,4.3,3
43NGA.X22,2,2.2
43NGA.X19,3,0
43NGA.X20,3.5,0
43ARG.X1,6,3
43ARG.X2,4.7,3.83
43ARG.X4,4.1,1.5
43ARG.X5,3.25,2.2
43ARG.X7,2.8,3.83
43ARG.X9,1.5,3.5
43ARG.X10,2.7,2.5
43ARG.X14,3.7,3.2
43ARG.X16,3.7,4.5
43ARG.X17,4.7,2.16
43ARG.X20,1.5,2.6
43ARG.X6,2.875,6
43ARG.X19,3.25,6
43ARG.X22,3.625,6
44BIH.X1,,
44BIH.X2,,
44BIH.X4,,
44BIH.X5,,
44BIH.X7,,
44BIH.X8,,
