key2,p_x,p_y
37ENG.X1,0,0
37ENG.X4,0,0
37ENG.X8,0,0
37ENG.X14,0,0
37ENG.X16,0,0
37ENG.X11,0,0
37ENG.X21,0,0
37SVN.X2,0,0
37SVN.X4,0,0
37SVN.X5,0,0
37SVN.X13,0,0
37SVN.X9,0,0
37SVN.X11,0,0
37SVN.X1,0,0
37SVN.X8,0,0
37SVN.X10,0,0
37SVN.X17,0,0
37SVN.X18,0,0
37SVN.X14,0,0
37SVN.X23,0,0
38ALG.X2,0,0
38ALG.X3,0,0
38ALG.X4,0,0
38ALG.X5,0,0
38ALG.X11,0,0
38ALG.X23,0,0
38ALG.X8,0,0
38ALG.X13,0,0
38ALG.X15,0,0
38ALG.X19,0,0
38ALG.X21,0,0
38ALG.X9,0,0
38ALG.X10,0,0
38ALG.X17,0,0
38USA.X3,0,0
38USA.X6,0,0
38USA.X12,0,0
38USA.X15,0,0
38USA.X9,0,0
38USA.X17,0,0
38USA.X1,0,0
38USA.X4,0,0
38USA.X8,0,0
38USA.X10,0,0
38USA.X19,0,0
38USA.X7,0,0
38USA.X14,0,0
38USA.X22,0,0
39GER.X3,0,0
39GER.X16,0,0
39GER.X17,0,0
39GER.X20,0,0
39GER.X10,0,0
39GER.X19,0,0
39GER.X1,0,0
39GER.X6,0,0
39GER.X7,0,0
39GER.X8,0,0
39GER.X13,0,0
39GER.X2,0,0
39GER.X15,0,0
39GER.X18,0,0
39GHA.X2,0,0
39GHA.X4,0,0
39GHA.X5,0,0
39GHA.X8,0,0
39GHA.X3,0,0
39GHA.X12,0,0
39GHA.X23,0,0
39GHA.X22,0,0
39GHA.X6,0,0
39GHA.X13,0,0
39GHA.X21,0,0
39GHA.X11,0,0
39GHA.X14,0,0
39GHA.X18,0,0
40AUS.X2,0,0
40AUS.X6,0,0
40AUS.X8,0,0
40AUS.X21,0,0
40AUS.X4,0,0
40AUS.X9,0,0
40AUS.X23,0,0
40AUS.X1,0,0
40AUS.X5,0,0
40AUS.X7,0,0
40AUS.X16,0,0
40AUS.X11,0,0
40AUS.X14,0,0
40AUS.X19,0,0
40SRB.X5,0,0
40SRB.X6,0,0
40SRB.X13,0,0
40SRB.X16,0,0
40SRB.X15,0,0
40SRB.X1,0,0
40SRB.X10,0,0
40SRB.X14,0,0
40SRB.X17,0,0
40SRB.X18,0,0
40SRB.X22,0,0
40SRB.X7,0,0
40SRB.X8,0,0
40SRB.X9,0,0
41ITA.X3,0,0
41ITA.X4,0,0
41ITA.X5,0,0
41ITA.X19,0,0
41ITA.X9,0,0
41ITA.X10,0,0
41ITA.X12,0,0
